label,month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,chl_norm,sst_suit,month_sin,month_cos
0,7,4,-41,0.118327096,28.659999666666664,0.0020011911879084,0.8680000666666672,1.2246467991473532e-16,-1.0
0,10,-50,-31,0.35561955,2.471666583333333,0.0057291460764027,0.0,-1.0,-1.8369701987210294e-16
0,5,-37,-170,0.10409521,17.49,0.0020051136189767,0.8979999999999997,0.8660254037844387,-0.4999999999999998
0,10,-4,-106,0.17078592,21.839999833333334,0.0027430194905961,1.0,-1.0,-1.8369701987210294e-16
0,1,-32,166,0.0840781254999999,22.408333,0.0021093201371406,1.0,0.0,1.0
0,1,-1,0,0.21997064,27.68666633333333,0.0059140133303024,1.0,0.0,1.0
0,11,-52,143,0.12634955,7.589999783333333,0.0022262414768116,0.0,-0.8660254037844386,0.5000000000000001
1,10,18,-65,0.12517299,29.256666166666665,0.0020061082319169,0.7486667666666669,-1.0,-1.8369701987210294e-16
0,6,41,132,0.27388704,16.313333333333333,0.0033431142120531,0.6626666666666665,0.4999999999999999,-0.8660254037844387
1,6,41,-73,4.217655,18.75999966666667,0.055096181278854,1.0,0.4999999999999999,-0.8660254037844387
1,4,25,-80,0.06907095,27.449999666666667,0.0014055521591094,1.0,1.0,6.123233995736766e-17
0,8,-51,41,0.07882404,1.3933333166666666,0.0011630726737564,0.0,-0.4999999999999997,-0.8660254037844388
0,3,-17,-137,0.032991115,28.971249625,0.0003345855981793,0.8057500750000003,0.8660254037844386,0.5000000000000001
0,5,-4,43,0.14523005,28.81666633333333,0.0029291068436534,0.836666733333334,0.8660254037844387,-0.4999999999999998
0,11,-5,49,0.11002756,28.493333,0.0019220064736429,0.9013334,-0.8660254037844386,0.5000000000000001
0,8,1,-176,0.17425163,28.083333,0.0029852425281579,0.9833334,-0.4999999999999997,-0.8660254037844388
0,7,71,-162,0.8982072,1.4100000166666666,0.0175292088502519,0.0,1.2246467991473532e-16,-1.0
0,6,11,157,0.029442161,29.1733325,0.000135326039591,0.7653334999999999,0.4999999999999999,-0.8660254037844387
0,11,-48,124,0.17088047,8.388333166666667,0.0030562790266023,0.0,-0.8660254037844386,0.5000000000000001
0,3,-31,-4,0.034972616,22.91625,0.0003632897975844,1.0,0.8660254037844386,0.5000000000000001
0,2,29,-41,0.05762699,21.4679998,0.0008274883959595,1.0,0.4999999999999999,0.8660254037844387
0,8,-44,8,0.11190271,7.146666499999999,0.0017947029527742,0.0,-0.4999999999999997,-0.8660254037844388
0,10,-46,-138,0.13085707,8.909999583333333,0.0020979388279175,0.0,-1.0,-1.8369701987210294e-16
0,2,-12,-135,0.098555036,27.4899998,0.0015252205019738,1.0,0.4999999999999999,0.8660254037844387
0,5,45,-158,0.24781777,9.7499995,0.0052334881956905,0.0,0.8660254037844387,-0.4999999999999998
0,12,-21,80,0.024266811,25.20714257142857,0.0011273221805933,1.0,-0.5000000000000004,0.8660254037844384
0,12,-61,91,0.24005109,-0.0471428528571428,0.0133684784226045,0.0,-0.5000000000000004,0.8660254037844384
0,11,-33,-150,0.023323964,17.759999833333335,0.0003058880466739,0.9519999666666672,-0.8660254037844386,0.5000000000000001
0,1,-32,-43,0.0588288675,23.72,0.0014023961362238,1.0,0.0,1.0
0,2,4,-79,0.26511225,27.3819994,0.004364650356409,1.0,0.4999999999999999,0.8660254037844387
1,5,19,-157,0.050570626,25.558333333333334,0.0008028152030928,1.0,0.8660254037844387,-0.4999999999999998
1,1,-37,135,0.18904704,16.838333333333335,0.0050482201638359,0.7676666666666669,0.0,1.0
0,4,7,-89,0.17537093,29.536666666666665,0.0041153835583481,0.692666666666667,1.0,6.123233995736766e-17
1,2,-10,117,0.08790089,28.9839996,0.0013435910216325,0.8032000799999999,0.4999999999999999,0.8660254037844387
1,8,-3,-82,0.41049582,19.78333333333333,0.0074962758812533,1.0,-0.4999999999999997,-0.8660254037844388
0,10,-9,78,0.06311333,28.7349995,0.0010034876556067,0.8530000999999998,-1.0,-1.8369701987210294e-16
0,6,-24,156,0.13840441,23.78166633333333,0.0015652100077762,1.0,0.4999999999999999,-0.8660254037844387
0,10,-12,74,0.10540363,27.43333266666667,0.0016867193226563,1.0,-1.0,-1.8369701987210294e-16
0,8,0,147,0.067170076,30.323333166666668,0.0009405426707972,0.5353333666666664,-0.4999999999999997,-0.8660254037844388
0,9,27,-68,0.032857135,29.376666666666665,0.0008040951854878,0.724666666666667,-0.8660254037844385,-0.5000000000000004
0,1,9,-56,0.22375957,27.688332666666668,0.006020095083469,1.0,0.0,1.0
0,10,39,19,0.181922,23.624999666666668,0.0029229312552986,1.0,-1.0,-1.8369701987210294e-16
0,3,-3,-107,0.14593646,26.651249625,0.0019707218932211,1.0,0.8660254037844386,0.5000000000000001
1,7,8,122,0.15383334,30.068332833333333,0.0027081480407985,0.5863334333333334,1.2246467991473532e-16,-1.0
0,5,-3,156,0.08240518,30.469999666666663,0.0015179003281743,0.5060000666666674,0.8660254037844387,-0.4999999999999998
0,1,0,153,0.150894085,29.081666666666667,0.0039800208688151,0.7836666666666666,0.0,1.0
0,4,37,-164,0.19549726,13.11999975,0.0046284500799547,0.0239999499999999,1.0,6.123233995736766e-17
0,11,-57,-47,0.20603164,0.4383333083333334,0.0037114819961137,0.0,-0.8660254037844386,0.5000000000000001
0,2,45,-168,0.17007545,6.08799994,0.0027444844043657,0.0,0.4999999999999999,0.8660254037844387
0,12,4,131,0.06969358,30.138570857142856,0.0037043225972861,0.5722858285714288,-0.5000000000000004,0.8660254037844384
0,11,-50,127,0.12362513,7.95333305,0.0021754594381427,0.0,-0.8660254037844386,0.5000000000000001
0,10,-34,-136,0.028337874,17.031666666666666,0.0004416639566664,0.8063333333333332,-1.0,-1.8369701987210294e-16
0,3,25,-40,0.024651216,22.92499975,0.0002137730808428,1.0,0.8660254037844386,0.5000000000000001
0,4,51,-159,0.23579465,5.8333333,0.005655723393923,0.0,1.0,6.123233995736766e-17
0,6,-33,-33,0.1103954,19.595,0.0011976548707329,1.0,0.4999999999999999,-0.8660254037844387
1,3,-35,152,0.22603676,23.9274995,0.0031310619503854,1.0,0.8660254037844386,0.5000000000000001
0,6,24,-83,0.14567363,28.624999833333334,0.0016606021388546,0.8750000333333332,0.4999999999999999,-0.8660254037844387
0,12,21,141,0.049427845,28.371428428571427,0.0025546743020357,0.9257143142857146,-0.5000000000000004,0.8660254037844384
0,2,3,-83,0.26876137,28.122000000000003,0.0044268597319238,0.9755999999999994,0.4999999999999999,0.8660254037844387
0,4,42,-157,0.20173272,11.3466665,0.0047874063214958,0.0,1.0,6.123233995736766e-17
0,4,1,-161,0.15579803,27.91333283333333,0.0036164252425125,1.0,1.0,6.123233995736766e-17
0,2,-24,85,0.044345833,25.5639998,0.0006010742240267,1.0,0.4999999999999999,0.8660254037844387
0,2,-59,40,0.23848137,1.568,0.0039106531148252,0.0,0.4999999999999999,0.8660254037844387
0,6,-10,0,0.13912496,25.566666666666663,0.0015746656027435,1.0,0.4999999999999999,-0.8660254037844387
0,5,-25,-131,0.030521672,24.366666,0.0003524646569899,1.0,0.8660254037844387,-0.4999999999999998
0,1,-51,108,0.128539895,5.006666633333333,0.0033541524400456,0.0,0.0,1.0
0,6,10,-33,0.15400445,27.749999833333334,0.0017699253775833,1.0,0.4999999999999999,-0.8660254037844387
