month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,sharks_count_mean,years_with_obs,years_total,sharks_presence_rate,chl_norm,sst_norm,sh_norm,risk_score
4,-19,178,0.14527436,28.243332666666664,3.0,1,1,1.0,0.027994110587990353,0.8521300765216555,1.0,0.028
4,-17,146,0.4594548,28.0449995,2.0,1,1,1.0,0.1054014298125932,0.8408139961560396,1.0,0.105
4,-10,147,1.9177679,28.523333,1.0,1,1,1.0,0.46469848745602954,0.8681057518343205,1.0,0.465
4,-8,-15,0.07448962,28.501666166666663,1.0,1,1,1.0,0.010554269439984727,0.8668695308260584,1.0,0.011
4,-1,-92,0.22110364,25.97,1.0,1,1,1.0,0.04667681815416408,0.7224230003621954,1.0,0.047
4,5,-163,0.15032299,28.696666500000003,1.0,1,1,1.0,0.029237984694401645,0.8779954533351798,1.0,0.029
4,7,98,0.57926345,30.72833316666667,1.0,2,2,1.0,0.13491971050638404,0.9939140546590965,1.0,0.135
4,9,97,0.37126338,30.8349995,1.0,1,1,1.0,0.08367295619784167,0.9999999999429441,1.0,0.084
4,9,167,0.031652004,28.561665666666663,1.0,1,1,1.0,0.0,0.8702928572182492,1.0,0.0
4,18,-65,0.075511344,27.626666333333333,1.0,1,1,1.0,0.010806000311032706,0.8169456144165458,1.0,0.011
4,25,-80,0.06907095,27.449999666666667,1.0,1,1,1.0,0.009219225417311709,0.806865736040553,1.0,0.009
4,33,-119,0.22028741,16.23,1.0,1,1,1.0,0.04647571659554797,0.16669838499142453,1.0,0.046
4,35,-76,1.3018696,17.78333316666667,1.0,1,1,1.0,0.31295436131631754,0.25532523063706064,1.0,0.313
4,43,4,0.69502944,15.993333333333332,1.0,1,1,1.0,0.16344196651723622,0.1531951516952832,1.0,0.163
5,-36,117,0.20499057,19.724999666666665,1.0,1,1,1.0,0.05063287804218641,0.3009366390985606,1.0,0.051
5,-35,22,0.4195275,17.948333166666668,1.0,1,1,1.0,0.11936262371515635,0.18347108538731882,1.0,0.119
