month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,sharks_count_mean,sharks_presence_rate,risk_score
6,-35,18,0.3199364,19.866666666666664,1.0,1.0,0.059
6,-35,22,0.52666724,17.52,12.0,1.0,0.106
6,-23,113,1.6557606,25.7866665,1.0,1.0,0.367
6,-19,178,0.13487549,26.803333166666665,29.0,1.0,0.016
6,2,104,0.28105688,30.254999833333333,1.0,1.0,0.05
6,7,134,0.06792781,29.939999666666665,2.0,1.0,0.0
6,17,-64,0.07667454,28.5183325,1.0,1.0,0.003
6,20,-157,0.24982779,26.15166633333333,1.0,1.0,0.043
6,21,-159,0.06580282,26.674999666666665,1.0,1.0,0.0
6,30,-87,0.18668036,27.563332666666668,1.0,1.0,0.028
6,39,-75,4.3957567,20.038333,1.0,1.0,1.0
6,40,-74,0.8824538,18.958333166666662,1.0,1.0,0.189
7,-35,22,0.54005367,16.984999833333333,2.0,1.0,0.564
7,-4,-81,0.52118224,23.699999666666667,2.0,1.0,0.543
7,21,-159,0.044555277,27.35999933333333,2.0,1.0,0.0
7,33,-79,0.9229085,28.974999166666667,1.0,1.0,1.0
7,51,-6,0.41412488,16.203333333333333,2.0,1.0,0.421
8,-9,115,0.2617922,26.448333166666668,2.0,1.0,0.0
8,-4,-81,0.7766961,22.199999666666667,1.0,1.0,1.0
9,-23,113,1.295542,23.469999666666663,1.0,1.0,0.722
9,-21,116,1.7615138,24.138333,1.0,1.0,1.0
9,25,35,0.08512002,30.48166583333333,1.0,1.0,0.0
9,32,-118,0.4116686,21.88499983333333,1.0,1.0,0.195
10,-26,113,1.1539363,21.459999666666665,1.0,1.0,1.0
10,-9,115,0.2654022,27.466666333333333,1.0,1.0,0.162
10,1,124,0.17533673,30.074999833333333,1.0,1.0,0.077
10,25,-80,0.0932753,29.203333166666667,1.0,1.0,0.0
10,34,-77,0.19251125,25.986665666666667,2.0,1.0,0.094
10,44,-64,0.9406891,13.991666666666667,1.0,1.0,0.799
10,51,-6,0.51976097,13.983333166666666,1.0,1.0,0.402
11,-32,115,0.6177785,20.408332833333333,1.0,1.0,1.0
11,-17,146,0.3290145,27.908333,1.0,1.0,0.448
11,19,-82,0.094403714,28.98499933333333,1.0,1.0,0.0
11,25,-80,0.123972535,27.891666333333333,1.0,1.0,0.056
12,-34,134,0.22796312,17.64,1.0,1.0,0.499
12,-1,-91,0.41854742,22.655714,1.0,1.0,1.0
12,4,118,0.3632113,29.661428285714287,3.0,1.0,0.854
12,9,167,0.038468238,28.62571371428572,1.0,1.0,0.0
12,24,-78,0.18019997,23.869999428571425,1.5,1.0,0.373
12,25,-78,0.17854884,25.49428571428572,1.0,1.0,0.369
